participant,TargetHit_L0,TargetHit_L1,TargetHit_L2,TargetMiss_L0,TargetMiss_L1,TargetMiss_L2,LureFA_L0,LureFA_L1,LureFA_L2,LureCR_L0,LureCR_L1,LureCR_L2,FoilFA_L0,FoilFA_L1,FoilFA_L2,FoilCR_L0,FoilCR_L1,FoilCR_L2,Age,age
5ea1950819664f04542a50bf,0.75,0.65,0.5,0.25,0.35,0.5,0.7,0.65,0.5,0.3,0.35,0.5,0.1,0.15,0.35,0.9,0.85,0.65,81,old
5ea3319a6a1a5b2a1175ed6e,0.8,0.9,0.7,0.2,0.1,0.3,0.631578947,0.578947368,0.8,0.368421053,0.421052632,0.2,0.1,0.176470588,0.35,0.9,0.823529412,0.65,71,old
5f57fd0328b04b3489d452e9,0.842105263,0.9,0.777777778,0.157894737,0.1,0.222222222,0.588235294,0.789473684,0.631578947,0.411764706,0.210526316,0.368421053,0.105263158,0.157894737,0.166666667,0.894736842,0.842105263,0.833333333,66,old
5f84b0568b326614c2194498,0.85,0.9,0.9,0.15,0.1,0.1,0.473684211,0.25,0.666666667,0.526315789,0.75,0.333333333,0.1,0.15,0.15,0.9,0.85,0.85,68,old
5feb07596bfb63af9d9c9aca,0.736842105,0.75,0.736842105,0.263157895,0.25,0.263157895,0.578947368,0.789473684,0.55,0.421052632,0.210526316,0.45,0.15,0.1,0.1,0.85,0.9,0.9,66,old
606f0911a98c67d01edbcf11,0.9,0.8,0.9,0.1,0.2,0.1,0.666666667,0.7,0.75,0.333333333,0.3,0.25,0.105263158,0.1,0.421052632,0.894736842,0.9,0.578947368,68,old
608e2cb9067eb028500433d5,0.9,0.85,0.789473684,0.1,0.15,0.210526316,0.5,0.65,0.4,0.5,0.35,0.6,0.25,0.2,0.1,0.75,0.8,0.9,66,old
60a7c4434b322876925afaa3,0.7,0.85,0.85,0.3,0.15,0.15,0.5,0.7,0.6,0.5,0.3,0.4,0.1,0.15,0.263157895,0.9,0.85,0.736842105,73,old
60ad5f2a02e874b84b931df2,0.85,0.789473684,0.7,0.15,0.210526316,0.3,0.5,0.5,0.55,0.5,0.5,0.45,0.105263158,0.15,0.15,0.894736842,0.85,0.85,70,old
60bebdec81297725b80fd773,0.777777778,0.823529412,0.625,0.222222222,0.176470588,0.375,0.5,0.588235294,0.611111111,0.5,0.411764706,0.388888889,0.1,0.1,0.25,0.9,0.9,0.75,69,old
60c119b30aa5205b493541b6,0.75,0.6,0.277777778,0.25,0.4,0.722222222,0.611111111,0.315789474,0.647058824,0.388888889,0.684210526,0.352941176,0.263157895,0.315789474,0.235294118,0.736842105,0.684210526,0.764705882,69,old
60cba33aa66d767b09f8e9e9,0.9,0.7,0.684210526,0.1,0.3,0.315789474,0.5,0.7,0.65,0.5,0.3,0.35,0.1,0.1,0.277777778,0.9,0.9,0.722222222,71,old
60dc963e81e24696fb377f61,0.9,0.85,0.75,0.1,0.15,0.25,0.25,0.45,0.65,0.75,0.55,0.35,0.1,0.2,0.3,0.9,0.8,0.7,70,old
60e87f56849a0832f5df0ce9,0.85,0.8,0.85,0.15,0.2,0.15,0.65,0.65,0.526315789,0.35,0.35,0.473684211,0.105263158,0.2,0.388888889,0.894736842,0.8,0.611111111,66,old
60f34fcae3c49524b0903a5d,0.65,0.65,0.6,0.35,0.35,0.4,0.55,0.45,0.4,0.45,0.55,0.6,0.1,0.2,0.3,0.9,0.8,0.7,66,old
60fdbd0f06c0c59f1e37183d,0.9,0.9,0.7,0.1,0.1,0.3,0.15,0.578947368,0.578947368,0.85,0.421052632,0.421052632,0.1,0.15,0.15,0.9,0.85,0.85,71,old
610c940475aedaf9c70a190e,0.85,0.315789474,0.35,0.15,0.684210526,0.65,0.789473684,0.3,0.3,0.210526316,0.7,0.7,0.1,0.105263158,0.1,0.9,0.894736842,0.9,67,old
612398c44b71792e34948173,0.85,0.421052632,0.611111111,0.15,0.578947368,0.388888889,0.684210526,0.5,0.526315789,0.315789474,0.5,0.473684211,0.25,0.210526316,0.157894737,0.75,0.789473684,0.842105263,67,old
6147d99266351b0c1e81dbac,0.85,0.85,0.8,0.15,0.15,0.2,0.7,0.7,0.7,0.3,0.3,0.3,0.1,0.3,0.35,0.9,0.7,0.65,66,old
614dda3a0bc594ebf91a7413,0.722222222,0.8,0.684210526,0.277777778,0.2,0.315789474,0.45,0.55,0.631578947,0.55,0.45,0.368421053,0.2,0.166666667,0.1875,0.8,0.833333333,0.8125,70,old
615224b6fec95dfc43439c28,0.8,0.75,0.5,0.2,0.25,0.5,0.45,0.4,0.55,0.55,0.6,0.45,0.105263158,0.1,0.263157895,0.894736842,0.9,0.736842105,73,old
6157bafc1b9dddb086632510,0.75,0.9,0.8,0.25,0.1,0.2,0.65,0.65,0.6,0.35,0.35,0.4,0.1,0.15,0.210526316,0.9,0.85,0.789473684,75,old
